Stage,Count,Mean,Median,Std_Dev,Minimum,Maximum
Group-stage elimination,15,53.64,54.5,17.91140099808738,16.7,83.3
Knockout,15,63.193333333333335,69.2,20.440172862935057,0.0,86.4
